Rank,Attraction
1,Oak Grove Lake Park
2,Dismal Swamp Canal Trail
3,Hickory Ridge Farm
4,Northwest River Park
5,Chesapeake Arboretum
6,Great Bridge Lock Park
7,The Garage Brewery
8,Glazenfyre
9,Greenbrier Mall
10,Clarke farms
11,Mount Pleasant Farms
12,South Norfolk Jordan Bridge
13,Deep Creek Park
14,Great Bridge Battlefield and Waterway Park
15,Elizabeth River Park
16,Dominion Boulevard Veterans Bridge Toll Road
17,Cinema Cafe
18,Relax the Feet
19,Adventure Kayak Tours
20,Cinema Cafe
21,Cloud 9 Trampoline Park
22,Happy Feet Massage Spa
23,Big Woodys- Great Bridge
24,Eagles Nest Rockin Country Bar
25,AMF Western Branch Lanes
26,Hookah's Lounge & Shop
27,Cahoon Plantation
28,Painting with a Twist
29,Rodgers' Banana Pudding Sauce Retro Shop
30,GameWorks
