Rank,Attraction
1,Jimi Hendrix Grave Site
2,Gene Coulon Memorial Beach Park
3,Greenwood Memorial Park Funeral Home
4,Henry Moses Aquatic Center
5,Renton History Museum
6,Riverview Park
7,Thomas Teasdale Park
8,Silver Dollar Casino Renton
9,Fortune Poker
10,Hazen Pool
11,Renton Civic Theatre
12,Antiques 4U
13,Will Roger-Wiley Post Memorial
14,Seattle Auction House
15,Sunset Community Church
16,Cedar River Dog Park
17,Northwest Seaplanes
18,8-Bit Arcade Bar
19,Berliner Pub
20,Shuttle Express
21,Dog and Pony Alehouse
22,That's Impossible Presents
23,Hot Yoga Renton
24,Four Generals Brewing
25,Lake Youngs Trail
26,Brewmasters Taproom
27,Springbrook Trout Farm
28,Maplewood Golf Course
29,Renton Rowing Center
30,Maya Whole Health
