Rank,Attraction
1,Kingston Waterfront
2,Fort Henry National Historic Site
3,Canada's Penitentiary Museum
4,Martello Alley
5,Wolfe Islander III
6,Kingston City Hall
7,Lemoine Point Conservation Area
8,Queens University
9,Lake Ontario Park
10,Bellevue House National Historic Site
11,Engine 1095
12,Kingston Mills
13,Cathedral of Saint Mary
14,Grass Creek Park
15,Military Communications and Electronics Museum
16,Leon's Centre
17,City Park
18,Confederation Park
19,Murney Tower National Historic Site
20,Cataraqui Cemetery
21,Kingston Visitor Information Centre
22,KINGSTON GLASS STUDIO & GALLERY INC.
23,Stone City Ales
24,St. George's Cathedral
25,The Grand Theatre
26,Museum of Health Care
27,Antique Alley
28,PumpHouse Museum
29,Agnes Etherington Art Centre
30,King’s Crossing Fashion Outlets
